trump,video,female,pid,age,educ
85,1,1,6,49,12
40,2,1,4,33,12
15,2,1,2,89,8
0,4,1,2,69,9
85,0,0,6,52,12
70,2,0,5,45,12
60,1,0,5,44,12
60,0,0,6,80,12
50,0,1,3,56,5
0,4,1,1,36,13
35,4,0,1,18,11
100,0,1,6,71,11
0,4,1,3,35,9
40,1,0,3,29,12
0,4,0,0,40,8
40,2,0,5,56,12
85,2,1,4,66,12
85,2,1,4,70,8
0,2,1,1,26,12
100,0,1,4,37,9
85,0,1,6,54,8
50,3,1,6,64,8
0,3,0,0,49,12
0,4,0,2,20,6
85,1,0,4,67,13
30,2,0,1,29,12
30,3,0,6,54,12
85,1,0,2,38,5
50,2,0,5,24,12
40,3,0,3,53,7
85,1,1,6,64,12
40,4,0,2,24,9
0,4,1,2,68,12
0,3,0,2,45,12
60,1,1,5,34,10
0,2,1,3,37,9
60,2,1,0,72,8
30,3,1,0,71,11
60,0,0,4,75,9
70,0,0,4,23,12
40,0,0,3,53,12
15,2,1,1,56,14
0,4,1,0,21,10
60,1,1,4,53,8
0,4,1,0,57,8
15,3,1,6,24,11
30,2,0,0,85,8
85,0,1,6,56,8
70,0,0,5,38,9
0,3,1,1,38,12
0,3,1,3,58,6
0,4,1,0,41,13
0,4,0,0,50,6
0,4,1,3,31,8
0,4,1,0,44,11
0,1,1,1,27,12
0,4,1,3,41,10
100,0,0,3,68,9
85,0,0,4,71,8
60,1,1,4,67,8
60,1,1,2,25,10
0,4,0,0,81,14
0,2,0,0,64,0
85,0,0,5,68,14
0,4,1,2,59,11
85,0,0,5,25,10
50,1,0,1,48,8
0,3,0,5,28,13
0,2,0,0,37,13
70,2,1,5,50,9
50,3,1,5,90,8
70,1,1,4,76,9
15,1,1,4,19,9
100,0,1,6,61,9
0,4,1,0,52,15
0,1,0,6,28,12
0,3,1,0,66,15
2,4,0,3,51,10
0,4,0,5,56,11
0,4,1,0,20,9
50,2,1,2,26,9
0,0,0,0,41,8
0,4,0,0,25,12
100,2,1,6,60,8
0,4,1,0,64,9
0,0,1,3,49,9
0,4,1,1,36,12
48,2,0,3,62,8
60,0,0,6,59,12
71,0,1,4,55,9
91,1,1,4,34,13
70,1,0,4,59,9
0,2,1,0,63,15
77,2,0,6,45,11
0,4,1,3,21,10
3,1,0,2,58,9
15,2,0,6,25,12
100,0,1,0,52,8
2,4,1,0,65,9
70,1,0,6,57,12
85,2,0,4,69,9
15,2,0,4,54,13
4,4,1,2,55,13
54,4,1,2,46,11
70,1,0,6,70,9
0,4,0,0,79,7
85,1,0,5,54,8
1,4,1,0,33,9
60,0,1,3,81,5
0,2,1,3,28,14
5,3,1,2,32,12
0,2,0,5,38,15
0,2,1,3,36,9
0,4,1,0,44,12
65,2,0,5,46,11
0,4,1,0,55,9
0,3,0,5,73,15
100,0,0,5,64,5
0,4,1,3,33,9
0,4,1,0,46,8
0,4,1,3,53,12
0,4,1,0,90,12
0,4,0,1,23,11
60,3,1,0,74,9
85,4,1,3,77,9
15,2,1,1,22,14
62,3,1,6,20,9
45,3,1,5,34,13
0,4,0,0,69,10
0,4,1,2,37,9
51,1,0,5,46,13
85,0,0,6,33,12
70,1,0,6,21,8
30,2,0,5,40,12
15,2,1,0,60,10
85,1,1,5,40,13
70,0,0,6,44,9
0,4,1,0,19,9
70,1,0,5,79,12
70,2,0,5,46,11
100,1,0,3,63,8
60,0,0,5,30,12
0,1,0,3,38,7
40,2,1,1,65,8
86,1,0,6,44,11
75,1,1,4,82,8
70,1,1,5,54,9
0,4,1,0,70,11
85,1,0,6,66,13
100,0,0,6,68,12
15,4,1,3,18,8
100,1,1,6,38,9
100,0,1,6,38,12
1,3,1,0,69,13
0,4,0,5,55,15
15,4,1,5,73,13
72,4,1,1,62,8
0,3,1,3,39,12
60,0,1,3,59,9
30,4,0,5,73,9
30,2,0,4,53,8
70,3,0,4,56,9
0,2,1,0,65,15
30,2,0,0,66,9
100,0,1,6,28,9
85,0,1,6,55,8
0,3,1,1,34,10
60,1,0,4,49,12
60,2,0,0,77,13
0,2,1,5,39,9
0,4,1,2,25,9
70,1,1,6,58,12
0,3,0,0,50,13
0,4,1,5,50,11
40,4,0,5,54,15
60,2,0,0,69,10
40,2,0,2,50,13
49,1,1,6,41,12
85,0,0,6,61,12
100,0,0,6,34,8
0,2,1,3,73,7
16,3,0,0,42,13
0,4,1,1,37,12
0,4,0,0,27,13
40,1,0,3,75,12
40,1,0,2,38,12
0,2,1,4,67,9
0,4,1,3,34,8
60,1,1,6,34,13
0,4,1,2,28,9
1,4,1,0,54,13
15,3,1,0,33,8
0,4,1,3,32,4
60,0,1,6,78,12
30,0,1,3,67,13
65,1,0,6,28,12
85,1,0,6,32,12
2,4,1,3,26,9
30,1,0,5,32,12
40,1,1,2,38,9
15,3,1,1,47,12
60,0,0,2,35,9
85,1,0,6,64,9
0,4,1,1,56,8
15,2,1,3,33,9
0,4,0,0,46,8
0,4,1,0,68,9
70,1,1,4,66,13
0,4,1,0,86,12
0,3,1,2,27,9
0,4,0,1,44,12
42,0,0,4,25,9
15,4,1,2,75,13
100,0,0,6,47,10
60,1,1,3,37,12
100,1,0,4,31,13
30,2,0,4,60,13
100,0,1,6,74,9
0,4,1,0,39,12
0,4,0,0,34,8
30,4,0,2,63,12
0,4,0,0,61,8
15,3,1,3,39,13
0,4,1,0,48,12
0,4,0,0,35,12
55,0,0,3,56,12
50,2,0,3,64,8
85,1,1,5,37,8
0,3,0,0,64,14
86,1,0,4,46,8
2,2,0,0,36,13
60,2,1,4,56,9
60,1,0,6,67,12
70,0,1,6,82,9
50,2,0,0,23,8
100,0,1,5,45,8
15,4,1,1,64,12
100,0,0,5,33,9
0,4,0,2,59,13
30,3,1,1,53,8
0,4,1,0,57,8
70,1,1,0,84,9
100,1,0,4,66,12
85,1,0,6,49,13
60,0,0,3,60,12
0,0,0,0,44,8
0,3,0,1,24,12
84,0,1,6,65,12
40,2,0,4,45,14
30,0,0,4,39,13
60,0,0,3,35,11
15,3,1,1,48,12
0,3,1,0,62,7
40,4,1,1,66,12
0,4,1,2,69,12
100,0,1,3,73,5
99,0,0,6,58,9
85,2,1,0,54,10
0,3,1,1,70,8
85,0,1,5,50,8
85,2,0,4,69,11
0,0,1,1,56,11
2,4,1,0,59,9
0,4,0,0,53,15
1,4,1,0,60,12
0,3,1,2,58,10
10,3,0,3,31,12
100,1,0,5,33,10
60,1,0,3,48,13
70,2,1,5,46,12
16,2,0,3,34,8
1,4,0,0,35,12
1,4,0,2,36,10
0,4,1,0,80,9
40,3,0,0,40,12
40,2,0,1,20,11
100,0,0,5,58,5
70,0,0,5,43,13
50,4,0,0,36,8
73,1,0,6,49,15
41,1,0,6,56,9
80,1,1,4,46,9
81,0,1,4,76,9
6,3,0,0,19,9
86,0,1,3,32,11
1,4,1,1,39,13
85,0,0,4,59,13
1,4,1,2,41,15
61,1,0,3,34,8
41,1,1,5,30,11
100,1,1,5,39,13
40,1,1,3,57,9
50,4,0,0,33,9
8,4,1,2,35,12
15,3,1,1,57,12
70,0,0,6,59,8
90,0,0,6,85,9
70,1,0,6,74,8
0,4,1,1,31,9
5,2,0,1,21,11
